,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
ENG-Premier League,2324,Bournemouth,Mark Travers,IRL,GK,24,1999,4,4,360,4.0,5,1.25,17,13,76.5,2,0,2,1,25.0,1,1,0,0,0.0
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34,1989,32,32,2880,32.0,55,1.72,161,112,68.9,10,9,13,7,21.9,6,5,1,0,16.7
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30,1993,37,37,3285,36.5,63,1.73,176,115,65.3,10,9,18,7,18.9,2,2,0,0,0.0
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28,1995,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,20,2002,21,21,1890,21.0,28,1.33,90,65,72.2,7,8,6,4,19.0,3,3,0,0,0.0
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,32,1990,17,17,1530,17.0,34,2.0,74,43,58.1,5,4,8,2,11.8,3,3,0,0,0.0
ENG-Premier League,2324,Burnley,Arijanet Muric,KVX,GK,24,1998,10,10,900,10.0,16,1.6,77,63,80.5,2,4,4,0,0.0,2,1,1,0,50.0
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,20,2002,28,28,2520,28.0,62,2.21,163,106,65.0,3,5,20,2,7.1,5,5,0,0,0.0
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,25,1997,16,16,1433,15.9,25,1.57,74,52,68.9,5,4,7,3,18.8,3,2,1,0,33.3
ENG-Premier League,2324,Chelsea,Đorđe Petrović,SRB,GK,23,1999,23,22,1987,22.1,38,1.72,112,74,67.0,13,5,4,4,18.2,2,1,0,1,0.0
ENG-Premier League,2324,Crystal Palace,Dean Henderson,ENG,GK,26,1997,18,18,1620,18.0,30,1.67,86,57,66.3,8,4,6,2,11.1,1,1,0,0,0.0
ENG-Premier League,2324,Crystal Palace,Remi Matthews,ENG,GK,29,1994,1,0,4,0.0,1,22.5,1,0,0.0,0,0,0,0,,0,0,0,0,
ENG-Premier League,2324,Crystal Palace,Sam Johnstone,ENG,GK,30,1993,20,20,1796,20.0,27,1.35,66,41,62.1,5,6,9,6,30.0,2,2,0,0,0.0
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29,1994,38,38,3420,38.0,51,1.34,164,121,73.8,13,9,16,10,26.3,8,8,0,0,0.0
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31,1992,38,38,3420,38.0,61,1.61,187,134,71.7,13,8,17,10,26.3,8,8,0,0,0.0
ENG-Premier League,2324,Liverpool,Alisson,BRA,GK,30,1992,28,28,2520,28.0,30,1.07,112,82,74.1,16,8,4,7,25.0,1,1,0,0,0.0
ENG-Premier League,2324,Liverpool,Caoimhín Kelleher,IRL,GK,24,1998,10,10,900,10.0,11,1.1,39,28,71.8,8,2,0,2,20.0,0,0,0,0,
ENG-Premier League,2324,Luton Town,James Shea,ENG,GK,32,1991,1,0,15,0.2,0,0.0,2,2,100.0,0,0,0,0,,0,0,0,0,
ENG-Premier League,2324,Luton Town,Thomas Kaminski,BEL,GK,30,1992,38,38,3405,37.8,85,2.25,225,144,64.0,6,8,24,2,5.3,4,4,0,0,0.0
ENG-Premier League,2324,Manchester City,Ederson,BRA,GK,29,1993,33,33,2785,30.9,27,0.87,81,57,70.4,24,6,3,11,33.3,3,3,0,0,0.0
ENG-Premier League,2324,Manchester City,Stefan Ortega,GER,GK,30,1992,9,5,635,7.1,7,0.99,27,20,74.1,4,1,0,3,60.0,0,0,0,0,
ENG-Premier League,2324,Manchester Utd,André Onana,CMR,GK,27,1996,38,38,3420,38.0,58,1.53,200,148,74.5,18,6,14,9,23.7,7,7,0,0,0.0
ENG-Premier League,2324,Newcastle United,Loris Karius,GER,GK,30,1993,1,1,90,1.0,4,4.0,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2324,Newcastle United,Martin Dúbravka,SVK,GK,34,1989,23,22,1985,22.1,42,1.9,124,87,69.4,9,4,9,5,22.7,5,4,1,0,20.0
ENG-Premier League,2324,Newcastle United,Nick Pope,ENG,GK,31,1992,15,15,1345,14.9,16,1.07,59,43,72.9,9,2,4,6,40.0,0,0,0,0,
ENG-Premier League,2324,Nottingham Forest,Matt Turner,USA,GK,29,1994,17,17,1530,17.0,28,1.65,81,55,67.9,4,5,8,2,11.8,2,2,0,0,0.0
ENG-Premier League,2324,Nottingham Forest,Matz Sels,BEL,GK,31,1992,16,16,1440,16.0,27,1.69,63,37,58.7,4,4,8,1,6.3,1,1,0,0,0.0
ENG-Premier League,2324,Nottingham Forest,Odysseas Vlachodimos,GRE,GK,29,1994,5,5,450,5.0,12,2.4,21,10,47.6,1,0,4,1,20.0,1,1,0,0,0.0
ENG-Premier League,2324,Sheffield United,Ivo Grbić,CRO,GK,27,1996,9,9,771,8.6,25,2.92,62,37,59.7,0,3,6,0,0.0,1,0,0,1,
ENG-Premier League,2324,Sheffield United,Wes Foderingham,ENG,GK,32,1991,30,29,2649,29.4,79,2.68,207,133,64.3,3,4,22,1,3.4,6,5,0,1,0.0
ENG-Premier League,2324,Tottenham Hotspur,Guglielmo Vicario,ITA,GK,26,1996,38,38,3420,38.0,61,1.61,164,110,67.1,20,6,12,6,15.8,7,7,0,0,0.0
ENG-Premier League,2324,West Ham United,Alphonse Areola,FRA,GK,30,1993,31,31,2699,30.0,53,1.77,182,136,73.6,11,9,11,4,12.9,7,5,2,0,28.6
ENG-Premier League,2324,West Ham United,Łukasz Fabiański,POL,GK,38,1985,10,7,721,8.0,21,2.62,51,33,64.7,3,1,3,1,14.3,3,3,0,0,0.0
ENG-Premier League,2324,Wolves,Daniel Bentley,ENG,GK,30,1993,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,
ENG-Premier League,2324,Wolves,José Sá,POR,GK,30,1993,35,35,3037,33.7,58,1.72,184,134,72.8,12,7,16,4,11.4,8,8,0,0,0.0
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38,38,3420,38.0,34,0.89,117,86,73.5,20,14,4,13,34.2,3,3,0,0,0.0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,37,37,3194,35.5,47,1.32,144,99,68.1,18,9,10,8,21.6,2,1,1,0,50.0
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34,1990,4,1,226,2.5,6,2.39,13,8,61.5,1,0,0,1,100.0,1,1,0,0,0.0
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,1994,31,31,2790,31.0,39,1.26,132,97,73.5,13,7,11,8,25.8,4,4,0,0,0.0
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25,1999,5,5,450,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,
ENG-Premier League,2425,Brentford,Hákon Valdimarsson,ISL,GK,22,2001,2,1,145,1.6,2,1.24,5,3,60.0,0,0,1,1,100.0,0,0,0,0,
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993,37,37,3275,36.4,55,1.51,207,152,73.9,16,8,13,8,21.6,1,1,0,0,0.0
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,2002,36,36,3240,36.0,58,1.61,140,89,65.0,14,13,9,7,19.4,9,9,0,0,0.0
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33,1990,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6,6,540,6.0,9,1.5,28,20,71.4,3,0,3,1,16.7,1,1,0,0,0.0
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26,1997,32,32,2880,32.0,34,1.06,123,94,75.6,17,9,6,10,31.3,5,4,1,0,20.0
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27,1997,38,38,3420,38.0,51,1.34,152,102,67.1,13,14,11,11,28.9,2,1,1,0,50.0
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30,1994,38,38,3420,38.0,44,1.16,161,119,72.7,11,15,12,12,31.6,2,0,2,0,100.0
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32,1992,38,38,3420,38.0,54,1.42,158,107,67.7,15,9,14,5,13.2,4,3,1,0,25.0
ENG-Premier League,2425,Ipswich Town,Alex Palmer,ENG,GK,27,1996,13,13,1170,13.0,30,2.31,74,45,60.8,1,3,9,0,0.0,1,1,0,0,0.0
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,25,1998,18,18,1620,18.0,33,1.83,100,70,70.0,2,6,10,1,5.6,3,3,0,0,0.0
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,28,1995,7,7,630,7.0,19,2.71,37,20,54.1,1,1,5,1,14.3,2,2,0,0,0.0
ENG-Premier League,2425,Leicester City,Danny Ward,WAL,GK,31,1993,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2425,Leicester City,Jakub Stolarczyk,POL,GK,23,2000,10,10,900,10.0,16,1.6,44,28,63.6,3,1,6,2,20.0,0,0,0,0,
ENG-Premier League,2425,Leicester City,Mads Hermansen,DEN,GK,24,2000,27,27,2385,26.5,58,2.19,156,102,64.7,3,6,18,1,3.7,4,3,1,0,25.0
ENG-Premier League,2425,Liverpool,Alisson,BRA,GK,31,1992,28,28,2508,27.9,29,1.04,106,74,73.6,18,7,3,10,35.7,1,1,0,0,0.0
ENG-Premier League,2425,Liverpool,Caoimhín Kelleher,IRL,GK,25,1998,10,10,900,10.0,12,1.2,37,24,67.6,7,2,1,4,40.0,1,0,1,0,100.0
ENG-Premier League,2425,Liverpool,Vitezslav Jaros,CZE,GK,23,2001,1,0,12,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,
ENG-Premier League,2425,Manchester City,Ederson,BRA,GK,30,1993,26,26,2320,25.8,26,1.01,78,54,69.2,16,4,6,10,38.5,2,2,0,0,0.0
ENG-Premier League,2425,Manchester City,Stefan Ortega,GER,GK,31,1992,13,12,1100,12.2,18,1.47,49,33,67.3,5,4,3,3,25.0,2,2,0,0,0.0
ENG-Premier League,2425,Manchester Utd,Altay Bayındır,TUR,GK,26,1998,4,4,360,4.0,10,2.5,18,8,44.4,1,0,3,1,25.0,0,0,0,0,
ENG-Premier League,2425,Manchester Utd,André Onana,CMR,GK,28,1996,34,34,3060,34.0,44,1.29,129,88,68.2,10,9,15,9,26.5,4,3,1,0,25.0
ENG-Premier League,2425,Newcastle United,Martin Dúbravka,SVK,GK,35,1989,10,10,900,10.0,12,1.2,41,29,70.7,7,0,3,5,50.0,0,0,0,0,
ENG-Premier League,2425,Newcastle United,Nick Pope,ENG,GK,32,1992,28,28,2520,28.0,35,1.25,120,87,71.7,13,6,9,8,28.6,2,1,1,0,50.0
ENG-Premier League,2425,Nottingham Forest,Matz Sels,BEL,GK,32,1992,38,38,3420,38.0,46,1.21,163,119,73.6,19,8,11,13,34.2,3,3,0,0,0.0
ENG-Premier League,2425,Southampton,Aaron Ramsdale,ENG,GK,26,1998,30,30,2700,30.0,66,2.2,182,123,66.5,2,5,23,3,10.0,7,5,2,0,28.6
ENG-Premier League,2425,Southampton,Alex McCarthy,ENG,GK,34,1989,5,5,450,5.0,13,2.6,35,24,68.6,0,0,5,0,0.0,2,2,0,0,0.0
ENG-Premier League,2425,Southampton,Joe Lumley,ENG,GK,29,1995,3,3,270,3.0,7,2.33,20,13,65.0,0,1,2,0,0.0,0,0,0,0,
ENG-Premier League,2425,Tottenham Hotspur,Antonín Kinský,CZE,GK,21,2003,6,6,540,6.0,11,1.83,35,24,68.6,1,0,5,1,16.7,0,0,0,0,
ENG-Premier League,2425,Tottenham Hotspur,Brandon Austin,ENG,GK,25,1999,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2425,Tottenham Hotspur,Fraser Forster,ENG,GK,36,1988,7,7,630,7.0,15,2.14,42,28,69.0,1,2,4,1,14.3,2,2,0,0,0.0
ENG-Premier League,2425,Tottenham Hotspur,Guglielmo Vicario,ITA,GK,27,1996,24,24,2160,24.0,37,1.54,104,68,65.4,9,3,12,4,16.7,1,1,0,0,0.0
ENG-Premier League,2425,West Ham United,Alphonse Areola,FRA,GK,31,1993,26,25,2260,25.1,41,1.63,121,80,66.1,5,7,13,5,20.0,0,0,0,0,
ENG-Premier League,2425,West Ham United,Łukasz Fabiański,POL,GK,39,1985,14,13,1160,12.9,21,1.63,68,50,73.5,6,3,4,3,23.1,3,3,0,0,0.0
ENG-Premier League,2425,Wolves,Daniel Bentley,ENG,GK,31,1993,2,2,180,2.0,4,2.0,12,8,66.7,1,0,1,1,50.0,0,0,0,0,
ENG-Premier League,2425,Wolves,José Sá,POR,GK,31,1993,29,29,2609,29.0,48,1.66,110,69,60.9,11,5,13,7,24.1,7,5,2,0,28.6
ENG-Premier League,2425,Wolves,Sam Johnstone,ENG,GK,31,1993,7,7,630,7.0,17,2.43,38,23,60.5,0,1,6,0,0.0,2,2,0,0,0.0
ENG-Premier League,2425,Wolves,Tom King,WAL,GK,29,1995,1,0,1,0.0,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
ENG-Premier League,2526,Arsenal,David Raya,ESP,GK,29,1995,37,37,3330,37.0,26,0.7,86,59,69.8,25,7,5,19,51.4,0,0,0,0,
ENG-Premier League,2526,Arsenal,Kepa Arrizabalaga,ESP,GK,30,1994,1,1,90,1.0,1,1.0,3,2,66.7,1,0,0,0,0.0,0,0,0,0,
ENG-Premier League,2526,Aston Villa,Emiliano Martínez,ARG,GK,32,1992,32,32,2835,31.5,39,1.24,133,95,70.7,16,6,10,8,25.0,1,0,1,0,100.0
ENG-Premier League,2526,Aston Villa,Marco Bizot,NED,GK,34,1991,7,6,585,6.5,10,1.54,28,19,67.9,3,2,1,2,33.3,1,1,0,0,0.0
ENG-Premier League,2526,Bournemouth,Đorđe Petrović,SRB,GK,25,1999,38,38,3420,38.0,54,1.42,157,109,69.4,13,18,7,11,28.9,6,6,0,0,0.0
ENG-Premier League,2526,Brentford,Caoimhín Kelleher,IRL,GK,26,1998,37,37,3330,37.0,49,1.32,146,105,69.9,13,11,13,10,27.0,8,5,3,0,37.5
ENG-Premier League,2526,Brentford,Hákon Valdimarsson,ISL,GK,23,2001,1,1,90,1.0,3,3.0,4,1,25.0,1,0,0,0,0.0,0,0,0,0,
ENG-Premier League,2526,Brighton,Bart Verbruggen,NED,GK,22,2002,38,38,3420,38.0,46,1.21,145,103,71.7,14,11,13,10,26.3,6,5,1,0,16.7
ENG-Premier League,2526,Burnley,Martin Dúbravka,SVK,GK,36,1989,35,35,3150,35.0,71,2.03,192,127,66.1,4,8,23,4,11.4,7,6,0,1,0.0
ENG-Premier League,2526,Burnley,Max Weiß,GER,GK,21,2004,3,3,270,3.0,4,1.33,13,10,76.9,0,2,1,0,0.0,1,1,0,0,0.0
ENG-Premier League,2526,Chelsea,Filip Jørgensen,DEN,GK,23,2002,5,3,379,4.2,5,1.19,13,8,61.5,1,2,0,0,0.0,0,0,0,0,
ENG-Premier League,2526,Chelsea,Robert Sánchez,ESP,GK,27,1997,35,35,3039,33.8,49,1.45,145,97,67.6,13,8,14,9,25.7,2,2,0,0,0.0
ENG-Premier League,2526,Crystal Palace,Dean Henderson,ENG,GK,28,1997,37,37,3330,37.0,51,1.38,150,104,69.3,11,11,15,11,29.7,6,5,1,0,16.7
ENG-Premier League,2526,Crystal Palace,Walter Benítez,ARG,GK,32,1993,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,1,0,0,1,
ENG-Premier League,2526,Everton,Jordan Pickford,ENG,GK,31,1994,38,38,3420,38.0,50,1.32,145,99,67.6,13,10,15,11,28.9,4,3,1,0,25.0
ENG-Premier League,2526,Fulham,Bernd Leno,GER,GK,33,1992,38,38,3420,38.0,51,1.34,146,98,67.1,15,7,16,9,23.7,4,3,0,1,0.0
ENG-Premier League,2526,Leeds United,Karl Darlow,WAL,GK,34,1990,22,22,1980,22.0,27,1.23,88,63,71.6,7,8,7,5,22.7,2,2,0,0,0.0
ENG-Premier League,2526,Leeds United,Lucas Perri,BRA,GK,27,1997,16,16,1440,16.0,29,1.81,63,38,60.3,4,6,6,3,18.8,4,4,0,0,0.0
ENG-Premier League,2526,Liverpool,Alisson,BRA,GK,32,1992,26,26,2340,26.0,31,1.19,86,57,66.3,13,8,5,8,30.8,2,2,0,0,0.0
ENG-Premier League,2526,Liverpool,Freddie Woodman,ENG,GK,28,1997,3,2,213,2.4,4,1.69,13,9,69.2,1,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2526,Liverpool,Giorgi Mamardashvili,GEO,GK,24,2000,10,10,867,9.6,18,1.87,49,33,65.3,3,1,6,2,20.0,2,1,1,0,50.0
ENG-Premier League,2526,Manchester City,Gianluigi Donnarumma,ITA,GK,26,1999,34,34,3060,34.0,29,0.85,105,75,72.4,22,9,3,15,44.1,1,0,1,0,100.0
ENG-Premier League,2526,Manchester City,James Trafford,ENG,GK,22,2002,4,4,360,4.0,6,1.5,19,14,73.7,1,0,3,1,25.0,1,1,0,0,0.0
ENG-Premier League,2526,Manchester Utd,Altay Bayındır,TUR,GK,27,1998,6,6,540,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,
ENG-Premier League,2526,Manchester Utd,Senne Lammens,BEL,GK,23,2002,32,32,2880,32.0,39,1.22,114,78,69.3,18,10,4,8,25.0,4,4,0,0,0.0
ENG-Premier League,2526,Newcastle United,Aaron Ramsdale,ENG,GK,27,1998,12,11,1004,11.2,17,1.52,38,24,63.2,4,2,5,1,9.1,3,3,0,0,0.0
ENG-Premier League,2526,Newcastle United,Nick Pope,ENG,GK,33,1992,27,27,2416,26.8,38,1.42,125,89,71.2,10,5,12,7,25.9,2,2,0,0,0.0
ENG-Premier League,2526,Nottingham Forest,Angus Gunn,SCO,GK,29,1996,1,0,45,0.5,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
ENG-Premier League,2526,Nottingham Forest,John,BRA,GK,29,1996,5,5,437,4.9,8,1.65,13,6,46.2,1,0,4,1,20.0,1,1,0,0,0.0
ENG-Premier League,2526,Nottingham Forest,Matz Sels,BEL,GK,33,1992,31,30,2668,29.6,39,1.32,127,93,72.4,10,10,10,7,23.3,5,4,1,0,20.0
ENG-Premier League,2526,Nottingham Forest,Stefan Ortega,GER,GK,32,1992,3,3,270,3.0,4,1.33,12,8,66.7,0,1,2,1,33.3,0,0,0,0,
ENG-Premier League,2526,Sunderland,Melker Ellborg,SWE,GK,22,2003,3,3,270,3.0,2,0.67,12,10,83.3,2,0,1,1,33.3,0,0,0,0,
ENG-Premier League,2526,Sunderland,Robin Roefs,NED,GK,22,2003,35,35,3150,35.0,46,1.31,151,108,70.9,12,12,11,10,28.6,3,2,1,0,33.3
ENG-Premier League,2526,Tottenham Hotspur,Antonín Kinský,CZE,GK,22,2003,7,7,630,7.0,7,1.0,16,10,62.5,3,2,2,2,28.6,1,1,0,0,0.0
ENG-Premier League,2526,Tottenham Hotspur,Guglielmo Vicario,ITA,GK,28,1996,31,31,2790,31.0,50,1.61,131,83,63.4,7,9,15,7,22.6,2,2,0,0,0.0
ENG-Premier League,2526,West Ham United,Alphonse Areola,FRA,GK,32,1993,20,20,1800,20.0,37,1.85,108,76,70.4,4,5,11,0,0.0,6,5,0,1,0.0
ENG-Premier League,2526,West Ham United,Mads Hermansen,DEN,GK,25,2000,18,18,1620,18.0,28,1.56,81,53,66.7,6,4,8,7,38.9,1,1,0,0,0.0
ENG-Premier League,2526,Wolves,Daniel Bentley,ENG,GK,32,1993,3,3,270,3.0,7,2.33,13,7,53.8,0,1,2,0,0.0,1,1,0,0,0.0
ENG-Premier League,2526,Wolves,José Sá,POR,GK,32,1993,23,23,2070,23.0,37,1.61,99,65,65.7,3,8,12,4,17.4,3,3,0,0,0.0
ENG-Premier League,2526,Wolves,Sam Johnstone,ENG,GK,32,1993,12,12,1080,12.0,24,2.0,62,39,62.9,0,2,10,0,0.0,1,1,0,0,0.0
ESP-La Liga,1011,Almería,Diego Alves,BRA,GK,25,1985,33,33,2970,33.0,56,1.7,193,137,71.0,5,11,17,2,6.1,,,,,
ESP-La Liga,1011,Almería,Esteban,ESP,GK,35,1975,5,5,450,5.0,14,2.8,41,27,65.9,1,1,3,1,20.0,,,,,
ESP-La Liga,1011,Athletic Club,Gorka Iraizoz,ESP,GK,29,1981,37,37,3330,37.0,54,1.46,171,117,68.4,18,4,16,9,24.3,,,,,
ESP-La Liga,1011,Athletic Club,Raúl Fernández,ESP,GK,22,1988,1,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,,,,,
ESP-La Liga,1011,Atlético Madrid,David de Gea,ESP,GK,19,1990,38,38,3420,38.0,53,1.39,199,146,73.4,17,7,14,11,28.9,,,,,
ESP-La Liga,1011,Barcelona,José Manuel Pinto,ESP,GK,34,1975,6,6,540,6.0,5,0.83,20,15,75.0,5,0,1,2,33.3,,,,,
ESP-La Liga,1011,Barcelona,Víctor Valdés,ESP,GK,28,1982,32,32,2880,32.0,16,0.5,96,80,83.3,25,6,1,17,53.1,,,,,
ESP-La Liga,1011,Dep La Coruña,Daniel Aranzubia,ESP,GK,30,1979,32,32,2880,32.0,36,1.13,145,109,75.2,10,10,12,11,34.4,,,,,
ESP-La Liga,1011,Dep La Coruña,Manu,ESP,GK,24,1986,6,6,540,6.0,11,1.83,39,28,71.8,0,3,3,2,33.3,,,,,
ESP-La Liga,1011,Espanyol,Carlos Kameni,CMR,GK,26,1984,33,33,2970,33.0,47,1.42,181,134,74.0,12,4,17,9,27.3,,,,,
ESP-La Liga,1011,Espanyol,Cristian Álvarez,ARG,GK,24,1985,5,5,450,5.0,8,1.6,25,17,68.0,3,0,2,1,20.0,,,,,
ESP-La Liga,1011,Getafe,Jordi Codina,ESP,GK,28,1982,23,22,2056,22.8,33,1.44,117,84,71.8,7,6,10,7,31.8,,,,,
ESP-La Liga,1011,Getafe,Óscar Ustari,ARG,GK,24,1986,16,16,1364,15.2,27,1.78,87,60,69.0,5,2,8,3,18.8,,,,,
ESP-La Liga,1011,Hércules,Juan Calatayud,ESP,GK,30,1979,34,34,3049,33.9,53,1.56,185,132,71.4,11,7,16,7,20.6,,,,,
ESP-La Liga,1011,Hércules,Piet Velthuizen,NED,GK,23,1986,3,3,270,3.0,5,1.67,16,11,68.8,1,1,1,0,0.0,,,,,
ESP-La Liga,1011,Hércules,Unai Alba,ESP,GK,32,1978,2,1,101,1.1,2,1.78,6,4,66.7,0,1,0,1,100.0,,,,,
ESP-La Liga,1011,Levante,Gustavo Munúa,URU,GK,32,1978,20,20,1800,20.0,27,1.35,88,61,69.3,8,5,7,7,35.0,,,,,
ESP-La Liga,1011,Levante,Manolo Reina,ESP,GK,25,1985,18,18,1620,18.0,25,1.39,96,71,74.0,4,4,10,3,16.7,,,,,
ESP-La Liga,1011,Mallorca,Dudu Aouate,ISR,GK,32,1977,35,35,3105,34.5,54,1.57,166,112,67.5,11,6,17,8,22.9,,,,,
ESP-La Liga,1011,Mallorca,Germán Lux,ARG,GK,28,1982,4,3,315,3.5,2,0.57,9,7,77.8,1,2,1,2,66.7,,,,,
ESP-La Liga,1011,Málaga,Francesc Arnau,ESP,GK,35,1975,9,7,719,8.0,12,1.5,38,26,68.4,2,1,5,2,28.6,,,,,
ESP-La Liga,1011,Málaga,Rodrigo Galatto,BRA,GK,27,1983,4,4,360,4.0,12,3.0,34,22,64.7,1,0,3,0,0.0,,,,,
ESP-La Liga,1011,Málaga,Rubén,ESP,GK,26,1984,7,7,630,7.0,14,2.0,49,35,71.4,2,1,4,1,14.3,,,,,
ESP-La Liga,1011,Málaga,Sergio Asenjo,ESP,GK,21,1989,5,5,366,4.1,11,2.7,28,17,60.7,1,2,3,1,20.0,,,,,
ESP-La Liga,1011,Málaga,Willy Caballero,ARG,GK,28,1981,15,15,1345,14.9,19,1.27,74,55,74.3,7,3,4,5,33.3,,,,,
ESP-La Liga,1011,Osasuna,Ricardo,ESP,GK,38,1971,38,38,3420,38.0,46,1.21,171,125,73.1,13,8,17,14,36.8,,,,,
ESP-La Liga,1011,Racing Sant,Mario Fernández,ESP,GK,22,1988,1,1,90,1.0,2,2.0,11,9,81.8,0,0,1,0,0.0,,,,,
ESP-La Liga,1011,Racing Sant,Toño,ESP,GK,30,1979,37,37,3330,37.0,54,1.46,184,130,70.7,12,10,15,9,24.3,,,,,
ESP-La Liga,1011,Real Madrid,Antonio Adán,ESP,GK,23,1987,3,2,260,2.9,0,0.0,7,7,100.0,2,0,0,2,100.0,,,,,
ESP-La Liga,1011,Real Madrid,Iker Casillas,ESP,GK,29,1981,35,35,3062,34.0,32,0.94,115,83,72.2,26,5,4,14,40.0,,,,,
ESP-La Liga,1011,Real Madrid,Jerzy Dudek,POL,GK,37,1973,1,1,76,0.8,1,1.18,2,1,50.0,1,0,0,0,0.0,,,,,
ESP-La Liga,1011,Real Madrid,Jesús,ESP,GK,22,1988,1,0,14,0.2,,,,,,,,,,,,,,,
ESP-La Liga,1011,Real Madrid,Tomás Mejías,ESP,GK,21,1989,1,0,8,0.1,0,0.0,0,0,,0,0,0,0,,,,,,
ESP-La Liga,1011,Real Sociedad,Claudio Bravo,CHI,GK,27,1983,38,38,3420,38.0,66,1.74,205,139,67.8,14,3,21,9,23.7,,,,,
ESP-La Liga,1011,Sevilla,Andrés Palop,ESP,GK,36,1973,19,19,1632,18.1,28,1.54,91,63,69.2,7,4,7,3,15.8,,,,,
ESP-La Liga,1011,Sevilla,Javi Varas,ESP,GK,27,1982,21,19,1788,19.9,33,1.66,115,82,71.3,10,3,7,5,26.3,,,,,
ESP-La Liga,1011,Sporting Gijón,Iván Cuéllar,ESP,GK,26,1984,13,13,1147,12.7,12,0.94,45,33,73.3,4,4,4,6,46.2,,,,,
ESP-La Liga,1011,Sporting Gijón,Juan Pablo Colinas,ESP,GK,31,1978,25,24,2183,24.3,29,1.2,104,75,72.1,6,10,9,8,33.3,,,,,
ESP-La Liga,1011,Sporting Gijón,Raúl Domínguez,ESP,GK,23,1986,1,1,90,1.0,1,1.0,4,3,75.0,1,0,0,0,0.0,,,,,
ESP-La Liga,1011,Valencia,César Sánchez,ESP,GK,38,1971,15,15,1265,14.1,14,1.0,68,54,79.4,8,4,1,5,33.3,,,,,
ESP-La Liga,1011,Valencia,Miguel Ángel Moyá,ESP,GK,26,1984,4,4,360,4.0,4,1.0,18,14,77.8,1,2,1,1,25.0,,,,,
ESP-La Liga,1011,Valencia,Vicente Guaita,ESP,GK,23,1987,21,19,1795,19.9,26,1.3,94,68,72.3,12,2,7,6,31.6,,,,,
ESP-La Liga,1011,Villarreal,Diego López,ESP,GK,28,1981,38,38,3420,38.0,44,1.16,174,130,74.7,18,8,12,13,34.2,,,,,
ESP-La Liga,1011,Zaragoza,Leo Franco,ARG,GK,33,1977,23,21,1876,20.8,32,1.54,96,64,66.7,6,6,10,6,28.6,,,,,
ESP-La Liga,1011,Zaragoza,Toni Doblas,ESP,GK,29,1980,18,17,1543,17.1,21,1.22,76,55,72.4,6,3,7,3,17.6,,,,,
